Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cyprus,CYP,3 lacs,2.09 lacs,2.7 lacs,2.7 lacs,2.6 lacs,3.1 lacs,3.4 lacs,3.3 lacs,5.7 lacs,4.97 lacs,3.98 lacs,3.3 lacs,4.14 lacs,4.33 lacs,5.3 lacs,4.54 lacs,3.92 lacs,3.65 lacs,5.36 lacs,6.26 lacs,7.86 lacs,11.8 lacs,15.87 lacs,16.09 lacs,14.91 lacs,12.95 lacs,11.05 lacs,8.37 lacs,7.07 lacs,7.59 lacs,6.13 lacs
Czech Republic,CZE,2.27 lacs,2.6 lacs,4.32 lacs,4.3 lacs,4.02 lacs,3.89 lacs,4.27 lacs,5.9 lacs,8.49 lacs,8.76 lacs,7.99 lacs,7.02 lacs,7.54 lacs,8.21 lacs,7.93 lacs,7.15 lacs,5.32 lacs,4.39 lacs,6.66 lacs,7.28 lacs,6.71 lacs,6.98 lacs,6.95 lacs,6.11 lacs,5.05 lacs,3.95 lacs,2.89 lacs,2.24 lacs,2.01 lacs,2.55 lacs,2.89 lacs
Germany,DEU,5.32 lacs,6.32 lacs,7.68 lacs,8.73 lacs,8.16 lacs,8.82 lacs,9.86 lacs,9.79 lacs,8.86 lacs,7.92 lacs,7.77 lacs,8.48 lacs,9.78 lacs,10.73 lacs,11.17 lacs,10.25 lacs,8.66 lacs,7.52 lacs,7.74 lacs,6.97 lacs,5.82 lacs,5.38 lacs,5.23 lacs,4.98 lacs,4.62 lacs,4.12 lacs,3.75 lacs,3.38 lacs,3.14 lacs,3.81 lacs,3.54 lacs
Djibouti,DJI,29.36 lacs,29.2 lacs,29.19 lacs,29.02 lacs,28.94 lacs,28.84 lacs,28.7 lacs,28.58 lacs,28.43 lacs,28.34 lacs,28.22 lacs,28.08 lacs,27.96 lacs,27.85 lacs,27.72 lacs,27.57 lacs,27.44 lacs,27.31 lacs,27.22 lacs,27.06 lacs,26.89 lacs,26.78 lacs,26.64 lacs,26.48 lacs,26.33 lacs,26.19 lacs,26.06 lacs,26.19 lacs,26.36 lacs,28.39 lacs,28.39 lacs
Denmark,DNK,9.1 lacs,9.03 lacs,10.72 lacs,8.04 lacs,6.99 lacs,6.84 lacs,5.4 lacs,5.04 lacs,5.14 lacs,4.48 lacs,4.16 lacs,4.27 lacs,5.4 lacs,5.2 lacs,4.83 lacs,3.9 lacs,3.8 lacs,3.68 lacs,6.41 lacs,7.75 lacs,7.77 lacs,7.8 lacs,7.38 lacs,6.93 lacs,6.28 lacs,5.99 lacs,5.83 lacs,5.13 lacs,5.02 lacs,5.64 lacs,4.8 lacs
Dominican Republic,DOM,6.35 lacs,6.2 lacs,6.27 lacs,6.36 lacs,6.33 lacs,6.34 lacs,6.31 lacs,6.36 lacs,6.39 lacs,6.43 lacs,7.26 lacs,6.78 lacs,6.94 lacs,6.3 lacs,6.59 lacs,5.65 lacs,5.16 lacs,4.76 lacs,5.47 lacs,5.21 lacs,6.09 lacs,6.72 lacs,7.35 lacs,6.72 lacs,7.61 lacs,7.28 lacs,5.83 lacs,5.86 lacs,6.36 lacs,6.13 lacs,8.5 lacs
Algeria,DZA,20.6 lacs,24.38 lacs,26.23 lacs,27.74 lacs,31.84 lacs,28.53 lacs,25.43 lacs,26.66 lacs,28.3 lacs,29.77 lacs,27.3 lacs,25.9 lacs,23.72 lacs,17.65 lacs,15.27 lacs,12.27 lacs,13.79 lacs,11.33 lacs,10.16 lacs,9.96 lacs,9.96 lacs,10.97 lacs,9.82 lacs,10.21 lacs,11.21 lacs,10.2 lacs,10.33 lacs,10.42 lacs,10.51 lacs,12.55 lacs,12.7 lacs
East Asia & Pacific (excluding high income),EAP,2.4 lacs,2.36 lacs,2.61 lacs,2.91 lacs,2.99 lacs,3.1 lacs,3.2 lacs,3.37 lacs,3.45 lacs,3.41 lacs,3.83 lacs,4.15 lacs,4.4 lacs,4.39 lacs,4.46 lacs,4.36 lacs,4.34 lacs,4.42 lacs,4.39 lacs,4.15 lacs,4.1 lacs,4.03 lacs,4.04 lacs,4.03 lacs,4.1 lacs,4.02 lacs,3.91 lacs,3.79 lacs,3.9 lacs,4.39 lacs,4.29 lacs
Early-demographic dividend,EAR,5.36 lacs,5.49 lacs,5.64 lacs,5.95 lacs,6.27 lacs,6.16 lacs,5.98 lacs,6.1 lacs,6.3 lacs,6.24 lacs,6.33 lacs,6.55 lacs,6.5 lacs,6.35 lacs,6.28 lacs,6.01 lacs,5.92 lacs,5.69 lacs,5.86 lacs,5.69 lacs,5.59 lacs,5.56 lacs,5.64 lacs,5.58 lacs,5.73 lacs,5.75 lacs,5.65 lacs,5.64 lacs,5.53 lacs,7.12 lacs,6.49 lacs
East Asia & Pacific,EAS,2.45 lacs,2.43 lacs,2.69 lacs,2.96 lacs,3.03 lacs,3.15 lacs,3.24 lacs,3.53 lacs,3.63 lacs,3.54 lacs,3.94 lacs,4.24 lacs,4.46 lacs,4.41 lacs,4.45 lacs,4.33 lacs,4.28 lacs,4.36 lacs,4.44 lacs,4.21 lacs,4.12 lacs,4.04 lacs,4.03 lacs,4.01 lacs,4.07 lacs,3.98 lacs,3.86 lacs,3.73 lacs,3.82 lacs,4.32 lacs,4.2 lacs
Europe & Central Asia (excluding high income),ECA,4.99 lacs,5.4 lacs,6.16 lacs,7.78 lacs,9.12 lacs,10.06 lacs,11.1 lacs,12.23 lacs,12.37 lacs,10.97 lacs,10.28 lacs,9.81 lacs,9.62 lacs,9.29 lacs,8.66 lacs,8.14 lacs,7.34 lacs,7.38 lacs,9.13 lacs,8.51 lacs,7.83 lacs,7.22 lacs,7.23 lacs,7.47 lacs,7.59 lacs,7.6 lacs,7.38 lacs,7.08 lacs,7.26 lacs,7.94 lacs,7.76 lacs
Europe & Central Asia,ECS,6.91 lacs,7.5 lacs,8.67 lacs,9.67 lacs,9.96 lacs,10.32 lacs,10.55 lacs,10.74 lacs,10.64 lacs,9.82 lacs,9.11 lacs,9.14 lacs,9.14 lacs,9.12 lacs,8.73 lacs,8.09 lacs,7.17 lacs,7.1 lacs,8.93 lacs,9.02 lacs,8.76 lacs,8.96 lacs,9.2 lacs,8.96 lacs,8.56 lacs,8.08 lacs,7.48 lacs,6.9 lacs,6.67 lacs,7.18 lacs,7.12 lacs
Ecuador,ECU,4.37 lacs,4.53 lacs,4.56 lacs,4.44 lacs,4.59 lacs,4.65 lacs,4.51 lacs,4.61 lacs,5.18 lacs,4.8 lacs,4.25 lacs,4.9 lacs,5.66 lacs,5 lacs,3.78 lacs,3.55 lacs,3.14 lacs,3.92 lacs,4.61 lacs,4.09 lacs,3.46 lacs,3.23 lacs,3.08 lacs,3.48 lacs,3.62 lacs,4.6 lacs,3.84 lacs,3.53 lacs,3.81 lacs,6.11 lacs,6.43 lacs
"Egypt, Arab Rep.",EGY,9.38 lacs,8.92 lacs,10.92 lacs,10.93 lacs,11.04 lacs,9 lacs,8.37 lacs,8.03 lacs,7.95 lacs,8.98 lacs,9.26 lacs,10.01 lacs,11.01 lacs,10.32 lacs,11.2 lacs,10.49 lacs,8.8 lacs,8.52 lacs,9.09 lacs,8.76 lacs,11.85 lacs,12.6 lacs,13.15 lacs,13.1 lacs,13.05 lacs,12.41 lacs,11.74 lacs,9.82 lacs,7.84 lacs,9.17 lacs,9.33 lacs
Euro area,EMU,8.25 lacs,8.89 lacs,10.68 lacs,11.76 lacs,11.44 lacs,11.67 lacs,11.67 lacs,11.19 lacs,10.44 lacs,9.43 lacs,8.35 lacs,8.61 lacs,8.95 lacs,9.24 lacs,9.02 lacs,8.31 lacs,7.43 lacs,7.48 lacs,9.54 lacs,10.07 lacs,10.11 lacs,11.29 lacs,11.93 lacs,11.6 lacs,10.84 lacs,10.01 lacs,9.05 lacs,8.17 lacs,7.53 lacs,7.83 lacs,7.76 lacs
Eritrea,ERI,5.32 lacs,5.54 lacs,5.73 lacs,5.9 lacs,6.04 lacs,6.07 lacs,6.08 lacs,6.01 lacs,5.95 lacs,5.88 lacs,5.77 lacs,5.7 lacs,5.58 lacs,5.37 lacs,5.26 lacs,5.26 lacs,5.25 lacs,5.17 lacs,5.24 lacs,5.49 lacs,5.52 lacs,5.53 lacs,5.58 lacs,5.67 lacs,5.83 lacs,5.9 lacs,5.94 lacs,5.95 lacs,5.99 lacs,7.86 lacs,8.05 lacs
Spain,ESP,15.93 lacs,17.7 lacs,22.16 lacs,24.21 lacs,22.67 lacs,22.14 lacs,20.7 lacs,18.67 lacs,15.48 lacs,13.79 lacs,10.35 lacs,11.15 lacs,11.28 lacs,11.09 lacs,9.15 lacs,8.45 lacs,8.23 lacs,11.25 lacs,17.86 lacs,19.86 lacs,21.39 lacs,24.79 lacs,26.09 lacs,24.44 lacs,22.06 lacs,19.63 lacs,17.22 lacs,15.25 lacs,14.1 lacs,15.53 lacs,14.73 lacs
Estonia,EST,1.47 lacs,3.68 lacs,6.54 lacs,7.56 lacs,9.66 lacs,9.92 lacs,10.37 lacs,9.51 lacs,11.57 lacs,13.36 lacs,13.13 lacs,10.03 lacs,11.29 lacs,10.25 lacs,8.03 lacs,5.91 lacs,4.59 lacs,5.45 lacs,13.55 lacs,16.71 lacs,12.33 lacs,10.02 lacs,8.63 lacs,7.35 lacs,6.19 lacs,6.76 lacs,5.76 lacs,5.37 lacs,4.45 lacs,6.8 lacs,6.33 lacs
Ethiopia,ETH,3.08 lacs,3.1 lacs,3.05 lacs,3.1 lacs,3.21 lacs,3.31 lacs,3.47 lacs,3.62 lacs,3.71 lacs,3.51 lacs,3.3 lacs,3.13 lacs,2.94 lacs,2.69 lacs,2.5 lacs,2.47 lacs,2.43 lacs,2.41 lacs,2.38 lacs,2.34 lacs,2.31 lacs,2.29 lacs,2.25 lacs,2.26 lacs,2.27 lacs,2.29 lacs,2.3 lacs,2.32 lacs,2.33 lacs,3.24 lacs,3.69 lacs
European Union,EUU,8.5 lacs,9.23 lacs,10.82 lacs,11.5 lacs,11.06 lacs,11.1 lacs,10.87 lacs,10.44 lacs,10.18 lacs,9.83 lacs,9.19 lacs,9.54 lacs,9.63 lacs,9.87 lacs,9.56 lacs,8.62 lacs,7.45 lacs,7.2 lacs,9.13 lacs,9.8 lacs,9.84 lacs,10.81 lacs,11.33 lacs,10.85 lacs,10.03 lacs,9.12 lacs,8.14 lacs,7.27 lacs,6.69 lacs,7.05 lacs,7.04 lacs
Fragile and conflict affected situations,FCS,4.58 lacs,4.53 lacs,4.52 lacs,4.64 lacs,5.2 lacs,5.53 lacs,5.68 lacs,5.95 lacs,6.16 lacs,6.14 lacs,6.08 lacs,6.11 lacs,5.99 lacs,5.84 lacs,5.52 lacs,5.4 lacs,5.33 lacs,5.33 lacs,5.39 lacs,5.45 lacs,5.47 lacs,5.49 lacs,5.52 lacs,5.81 lacs,5.78 lacs,6.3 lacs,6.64 lacs,6.55 lacs,6.52 lacs,7.4 lacs,7.64 lacs
Finland,FIN,6.5 lacs,11.6 lacs,16.2 lacs,16.43 lacs,17 lacs,15.57 lacs,14.97 lacs,13.21 lacs,11.69 lacs,11.13 lacs,10.29 lacs,10.42 lacs,10.47 lacs,10.36 lacs,8.38 lacs,7.72 lacs,6.85 lacs,6.37 lacs,8.25 lacs,8.39 lacs,7.78 lacs,7.69 lacs,8.19 lacs,8.66 lacs,9.38 lacs,8.82 lacs,8.64 lacs,7.36 lacs,6.69 lacs,7.76 lacs,7.53 lacs
Fiji,FJI,4.06 lacs,3.88 lacs,3.96 lacs,3.9 lacs,3.94 lacs,3.9 lacs,4.03 lacs,3.95 lacs,3.79 lacs,3.99 lacs,3.91 lacs,3.87 lacs,3.91 lacs,3.81 lacs,3.89 lacs,3.96 lacs,4.11 lacs,4.16 lacs,4.31 lacs,4.31 lacs,4.41 lacs,4.42 lacs,4.33 lacs,4.29 lacs,4.3 lacs,4.32 lacs,4.28 lacs,4.33 lacs,4.45 lacs,4.72 lacs,5.24 lacs
France,FRA,9.13 lacs,10.21 lacs,11.32 lacs,12.59 lacs,11.84 lacs,12.37 lacs,12.57 lacs,12.07 lacs,11.98 lacs,10.22 lacs,8.61 lacs,8.7 lacs,8.31 lacs,8.91 lacs,8.49 lacs,8.45 lacs,7.66 lacs,7.06 lacs,8.74 lacs,8.87 lacs,8.81 lacs,9.4 lacs,9.92 lacs,10.29 lacs,10.35 lacs,10.05 lacs,9.41 lacs,9.02 lacs,8.41 lacs,8.01 lacs,8.06 lacs
Gabon,GAB,17.78 lacs,17.87 lacs,17.78 lacs,17.72 lacs,17.63 lacs,17.58 lacs,17.48 lacs,17.43 lacs,17.49 lacs,17.34 lacs,17.23 lacs,17.17 lacs,17.07 lacs,17.01 lacs,16.91 lacs,17.67 lacs,18.28 lacs,19.09 lacs,19.76 lacs,20.39 lacs,20.43 lacs,20.49 lacs,20.52 lacs,20.57 lacs,20.61 lacs,20.67 lacs,20.72 lacs,20.75 lacs,20.74 lacs,21.97 lacs,22.26 lacs
United Kingdom,GBR,8.55 lacs,9.78 lacs,10.35 lacs,9.65 lacs,8.69 lacs,8.19 lacs,7.07 lacs,6.2 lacs,6.04 lacs,5.56 lacs,4.7 lacs,5.04 lacs,4.81 lacs,4.59 lacs,4.75 lacs,5.35 lacs,5.26 lacs,5.62 lacs,7.54 lacs,7.79 lacs,8.04 lacs,7.88 lacs,7.52 lacs,6.11 lacs,5.3 lacs,4.81 lacs,4.33 lacs,4 lacs,3.74 lacs,4.47 lacs,4.53 lacs
Georgia,GEO,2.7 lacs,5.4 lacs,5.4 lacs,8.4 lacs,7.6 lacs,11.5 lacs,11.5 lacs,14.53 lacs,13.8 lacs,10.82 lacs,11.16 lacs,12.59 lacs,11.51 lacs,12.62 lacs,13.81 lacs,13.57 lacs,13.28 lacs,17.87 lacs,20.71 lacs,20.2 lacs,19.63 lacs,19.65 lacs,19.42 lacs,17.44 lacs,16.51 lacs,16.6 lacs,13.94 lacs,12.67 lacs,11.57 lacs,18.5 lacs,10.66 lacs
Ghana,GHA,3.49 lacs,4.7 lacs,5.27 lacs,5.86 lacs,6.44 lacs,7.02 lacs,7.61 lacs,8.2 lacs,10.1 lacs,10.46 lacs,9.5 lacs,8.53 lacs,7.56 lacs,6.59 lacs,5.62 lacs,4.64 lacs,4.84 lacs,4.99 lacs,5.22 lacs,5.38 lacs,5.6 lacs,5.91 lacs,6.2 lacs,6.52 lacs,6.81 lacs,5.53 lacs,4.22 lacs,4.28 lacs,4.32 lacs,4.65 lacs,4.7 lacs
Guinea,GIN,4.45 lacs,4.46 lacs,4.45 lacs,4.47 lacs,4.48 lacs,4.49 lacs,4.49 lacs,4.52 lacs,4.53 lacs,4.55 lacs,4.55 lacs,4.55 lacs,4.62 lacs,4.63 lacs,4.65 lacs,4.7 lacs,4.67 lacs,4.72 lacs,4.81 lacs,4.77 lacs,4.79 lacs,4.82 lacs,4.87 lacs,4.9 lacs,4.92 lacs,4.88 lacs,4.91 lacs,4.98 lacs,5.02 lacs,6.1 lacs,6.34 lacs
"Gambia, The",GMB,8.83 lacs,8.86 lacs,8.9 lacs,8.95 lacs,8.97 lacs,8.99 lacs,9 lacs,9.04 lacs,9.05 lacs,9.08 lacs,9.11 lacs,9.22 lacs,9.16 lacs,9.19 lacs,9.29 lacs,9.3 lacs,9.3 lacs,9.3 lacs,9.32 lacs,9.36 lacs,9.51 lacs,9.42 lacs,9.45 lacs,9.5 lacs,9.47 lacs,9.5 lacs,9.48 lacs,9.48 lacs,9.5 lacs,11.08 lacs,11.21 lacs
Guinea-Bissau,GNB,6.19 lacs,6.3 lacs,6.35 lacs,6.36 lacs,6.34 lacs,6.39 lacs,6.41 lacs,6.35 lacs,6.32 lacs,6.25 lacs,6.3 lacs,6.38 lacs,6.37 lacs,6.25 lacs,6.21 lacs,6.14 lacs,6.06 lacs,5.89 lacs,5.9 lacs,6.08 lacs,5.98 lacs,5.87 lacs,5.81 lacs,5.8 lacs,5.87 lacs,5.95 lacs,5.99 lacs,5.98 lacs,6.04 lacs,6.74 lacs,6.76 lacs
Equatorial Guinea,GNQ,8.13 lacs,8.27 lacs,8.37 lacs,8.43 lacs,8.47 lacs,8.53 lacs,8.56 lacs,8.5 lacs,8.49 lacs,8.45 lacs,8.57 lacs,8.71 lacs,8.77 lacs,8.71 lacs,8.75 lacs,8.71 lacs,8.65 lacs,8.5 lacs,8.55 lacs,8.82 lacs,8.73 lacs,8.61 lacs,8.51 lacs,8.48 lacs,8.54 lacs,8.63 lacs,8.65 lacs,8.62 lacs,8.68 lacs,9.9 lacs,9.24 lacs
Greece,GRC,7.66 lacs,7.84 lacs,8.61 lacs,8.86 lacs,9.06 lacs,9.66 lacs,9.58 lacs,10.84 lacs,11.85 lacs,11.25 lacs,10.46 lacs,9.97 lacs,9.41 lacs,10.31 lacs,9.99 lacs,9.01 lacs,8.4 lacs,7.76 lacs,9.62 lacs,12.71 lacs,17.86 lacs,24.44 lacs,27.47 lacs,26.49 lacs,24.9 lacs,23.54 lacs,21.49 lacs,19.29 lacs,17.31 lacs,16.3 lacs,14.8 lacs
Guatemala,GTM,2.59 lacs,2.57 lacs,2.61 lacs,2.62 lacs,2.61 lacs,2.68 lacs,2.65 lacs,2.65 lacs,2.7 lacs,2.72 lacs,2.78 lacs,2.75 lacs,2.81 lacs,2.97 lacs,3.05 lacs,3.06 lacs,3.11 lacs,3.31 lacs,3.51 lacs,3.5 lacs,3.09 lacs,2.76 lacs,3.02 lacs,2.72 lacs,2.51 lacs,2.58 lacs,2.46 lacs,2.28 lacs,2.19 lacs,3.55 lacs,3.57 lacs
Guam,GUM,3.51 lacs,3.84 lacs,5.53 lacs,7.6 lacs,7.9 lacs,8.28 lacs,9.67 lacs,7.74 lacs,13.95 lacs,15.32 lacs,13.21 lacs,11.39 lacs,9.75 lacs,7.7 lacs,7 lacs,7.4 lacs,8.3 lacs,8.72 lacs,9.3 lacs,8.2 lacs,13.3 lacs,12.2 lacs,11.5 lacs,7.6 lacs,6.9 lacs,5.4 lacs,5.43 lacs,5.56 lacs,5.51 lacs,6.8 lacs,6.98 lacs
Guyana,GUY,11.93 lacs,11.9 lacs,11.88 lacs,11.86 lacs,11.88 lacs,11.84 lacs,11.84 lacs,11.89 lacs,11.84 lacs,11.86 lacs,11.81 lacs,11.81 lacs,11.55 lacs,11.27 lacs,11.02 lacs,10.7 lacs,10.96 lacs,11.27 lacs,11.53 lacs,11.8 lacs,12.06 lacs,12.34 lacs,12.63 lacs,12.92 lacs,13.21 lacs,13.46 lacs,13.75 lacs,14.02 lacs,13.99 lacs,16.43 lacs,16.42 lacs
High income,HIC,6.75 lacs,7.32 lacs,7.85 lacs,7.85 lacs,7.45 lacs,7.42 lacs,7.13 lacs,7.05 lacs,6.92 lacs,6.53 lacs,6.5 lacs,7.02 lacs,7.13 lacs,6.97 lacs,6.67 lacs,6.14 lacs,5.61 lacs,5.86 lacs,7.94 lacs,8.19 lacs,7.86 lacs,7.9 lacs,7.81 lacs,7.21 lacs,6.63 lacs,6.15 lacs,5.59 lacs,5.07 lacs,4.77 lacs,6.49 lacs,5.67 lacs
"Hong Kong SAR, China",HKG,1.8 lacs,1.96 lacs,1.96 lacs,1.9 lacs,3.22 lacs,2.83 lacs,2.22 lacs,4.58 lacs,6.25 lacs,4.92 lacs,5.09 lacs,7.28 lacs,7.86 lacs,6.74 lacs,5.58 lacs,4.77 lacs,4.01 lacs,3.56 lacs,5.26 lacs,4.33 lacs,3.42 lacs,3.29 lacs,3.4 lacs,3.3 lacs,3.31 lacs,3.39 lacs,3.13 lacs,2.82 lacs,2.93 lacs,5.83 lacs,5.32 lacs
Honduras,HND,4.58 lacs,3.06 lacs,3.12 lacs,3.25 lacs,3.24 lacs,4.37 lacs,3.32 lacs,4.02 lacs,3.85 lacs,3.84 lacs,4 lacs,4.02 lacs,5.3 lacs,5.99 lacs,4.91 lacs,3.57 lacs,3.21 lacs,3.16 lacs,3.29 lacs,4.12 lacs,4.47 lacs,3.75 lacs,5.65 lacs,7.08 lacs,6.15 lacs,6.73 lacs,5.53 lacs,5.65 lacs,5.7 lacs,8.37 lacs,8.51 lacs
Heavily indebted poor countries (HIPC),HPC,4.88 lacs,4.97 lacs,4.99 lacs,5 lacs,4.98 lacs,5 lacs,4.99 lacs,5.02 lacs,5.16 lacs,5.22 lacs,5.18 lacs,5.18 lacs,5.17 lacs,5.07 lacs,4.97 lacs,4.92 lacs,4.89 lacs,4.84 lacs,4.88 lacs,5.08 lacs,5.05 lacs,4.93 lacs,4.77 lacs,4.7 lacs,4.77 lacs,4.71 lacs,4.66 lacs,4.69 lacs,4.71 lacs,5.43 lacs,5.66 lacs
Croatia,HRV,11.14 lacs,11.01 lacs,10.68 lacs,10.63 lacs,10.17 lacs,9.68 lacs,9.71 lacs,11.39 lacs,13.56 lacs,16.06 lacs,15.82 lacs,15.05 lacs,13.92 lacs,13.66 lacs,12.6 lacs,11.13 lacs,9.91 lacs,8.53 lacs,9.2 lacs,11.62 lacs,13.68 lacs,15.93 lacs,17.25 lacs,17.29 lacs,16.18 lacs,13.1 lacs,11.21 lacs,8.43 lacs,6.62 lacs,7.51 lacs,8.68 lacs
Haiti,HTI,7.51 lacs,7.59 lacs,7.55 lacs,7.61 lacs,7.26 lacs,7.3 lacs,7.28 lacs,7.25 lacs,7.2 lacs,8.4 lacs,9.63 lacs,10.83 lacs,12 lacs,13.32 lacs,14.42 lacs,15.69 lacs,16.8 lacs,16.34 lacs,15.66 lacs,15.38 lacs,14.53 lacs,14.1 lacs,14 lacs,13.95 lacs,13.96 lacs,13.93 lacs,13.88 lacs,13.86 lacs,13.91 lacs,15.45 lacs,15.73 lacs
Hungary,HUN,8.5 lacs,9.94 lacs,12.1 lacs,10.85 lacs,10.17 lacs,10.02 lacs,8.99 lacs,8.93 lacs,6.93 lacs,6.56 lacs,5.67 lacs,5.61 lacs,5.79 lacs,5.83 lacs,7.19 lacs,7.49 lacs,7.41 lacs,7.82 lacs,10.03 lacs,11.17 lacs,11.03 lacs,11 lacs,10.18 lacs,7.73 lacs,6.81 lacs,5.11 lacs,4.16 lacs,3.71 lacs,3.42 lacs,4.25 lacs,4.12 lacs
IBRD only,IBD,4.55 lacs,4.61 lacs,4.85 lacs,5.22 lacs,5.53 lacs,5.63 lacs,5.69 lacs,5.92 lacs,6.16 lacs,6.02 lacs,6.18 lacs,6.38 lacs,6.47 lacs,6.3 lacs,6.24 lacs,5.99 lacs,5.77 lacs,5.66 lacs,5.99 lacs,5.78 lacs,5.66 lacs,5.59 lacs,5.58 lacs,5.58 lacs,5.71 lacs,5.82 lacs,5.76 lacs,5.63 lacs,5.66 lacs,6.88 lacs,6.44 lacs
IDA & IBRD total,IBT,4.41 lacs,4.47 lacs,4.68 lacs,5.01 lacs,5.27 lacs,5.36 lacs,5.42 lacs,5.63 lacs,5.83 lacs,5.72 lacs,5.85 lacs,6.01 lacs,6.09 lacs,5.92 lacs,5.85 lacs,5.62 lacs,5.44 lacs,5.35 lacs,5.62 lacs,5.44 lacs,5.35 lacs,5.31 lacs,5.32 lacs,5.3 lacs,5.44 lacs,5.58 lacs,5.57 lacs,5.47 lacs,5.49 lacs,6.61 lacs,6.31 lacs
IDA total,IDA,3.67 lacs,3.75 lacs,3.85 lacs,3.95 lacs,3.99 lacs,4.12 lacs,4.15 lacs,4.27 lacs,4.33 lacs,4.36 lacs,4.37 lacs,4.37 lacs,4.37 lacs,4.27 lacs,4.18 lacs,4.05 lacs,4.05 lacs,4.1 lacs,4.14 lacs,4.09 lacs,4.14 lacs,4.23 lacs,4.3 lacs,4.24 lacs,4.43 lacs,4.7 lacs,4.88 lacs,4.92 lacs,4.89 lacs,5.7 lacs,5.87 lacs
IDA blend,IDB,3.06 lacs,3.16 lacs,3.32 lacs,3.54 lacs,3.63 lacs,3.88 lacs,3.88 lacs,4.05 lacs,4 lacs,3.86 lacs,3.73 lacs,3.55 lacs,3.42 lacs,3.26 lacs,3.12 lacs,2.99 lacs,2.8 lacs,2.81 lacs,2.86 lacs,2.93 lacs,2.96 lacs,3.29 lacs,3.65 lacs,3.51 lacs,4.07 lacs,5.01 lacs,5.61 lacs,5.79 lacs,5.71 lacs,6.59 lacs,6.65 lacs
