Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Somalia,SOM,19.19 lacs,19.27 lacs,19.16 lacs,19.33 lacs,19.14 lacs,19.1 lacs,19.14 lacs,19.08 lacs,19.06 lacs,19.05 lacs,19.04 lacs,19.02 lacs,19.02 lacs,19.02 lacs,19.01 lacs,19.01 lacs,18.9 lacs,18.92 lacs,18.94 lacs,18.96 lacs,18.98 lacs,18.97 lacs,18.95 lacs,18.93 lacs,18.9 lacs,18.89 lacs,18.88 lacs,18.85 lacs,18.83 lacs,19.72 lacs,19.86 lacs
Serbia,SRB,13.33 lacs,12.94 lacs,12.82 lacs,13.4 lacs,13.4 lacs,13.2 lacs,13.8 lacs,13.7 lacs,13.7 lacs,12.6 lacs,12.8 lacs,13.8 lacs,15.2 lacs,18.5 lacs,20.85 lacs,20.85 lacs,18.06 lacs,13.7 lacs,16.14 lacs,19.22 lacs,22.97 lacs,24 lacs,22.15 lacs,19.22 lacs,17.66 lacs,15.26 lacs,13.48 lacs,12.73 lacs,10.39 lacs,9.01 lacs,11.81 lacs
Sub-Saharan Africa (excluding high income),SSA,6.51 lacs,6.58 lacs,6.6 lacs,6.59 lacs,6.58 lacs,6.6 lacs,6.63 lacs,6.62 lacs,6.69 lacs,6.67 lacs,6.65 lacs,6.77 lacs,6.65 lacs,6.35 lacs,6.22 lacs,6.12 lacs,5.95 lacs,5.65 lacs,5.67 lacs,6 lacs,5.93 lacs,5.85 lacs,5.71 lacs,5.79 lacs,5.82 lacs,6.24 lacs,6.47 lacs,6.48 lacs,6.61 lacs,7.28 lacs,7.66 lacs
South Sudan,SSD,11.91 lacs,11.95 lacs,11.98 lacs,12.02 lacs,12 lacs,12.01 lacs,12 lacs,12.05 lacs,12.06 lacs,12.06 lacs,12.07 lacs,12.08 lacs,12.09 lacs,12.12 lacs,12.11 lacs,12.11 lacs,12.11 lacs,12.15 lacs,12.18 lacs,12.18 lacs,12.2 lacs,12.2 lacs,12.13 lacs,12.19 lacs,12.27 lacs,12.3 lacs,12.25 lacs,12.24 lacs,12.23 lacs,14.03 lacs,13.91 lacs
Sub-Saharan Africa,SSF,6.51 lacs,6.58 lacs,6.6 lacs,6.59 lacs,6.58 lacs,6.6 lacs,6.63 lacs,6.62 lacs,6.69 lacs,6.67 lacs,6.65 lacs,6.77 lacs,6.65 lacs,6.35 lacs,6.22 lacs,6.12 lacs,5.95 lacs,5.65 lacs,5.67 lacs,6 lacs,5.93 lacs,5.85 lacs,5.71 lacs,5.79 lacs,5.82 lacs,6.24 lacs,6.47 lacs,6.48 lacs,6.61 lacs,7.28 lacs,7.66 lacs
Small states,SST,12.27 lacs,12.77 lacs,13.3 lacs,13.36 lacs,13.57 lacs,13.66 lacs,13.78 lacs,13.42 lacs,13.3 lacs,12.97 lacs,12.85 lacs,12.64 lacs,12.57 lacs,12.2 lacs,11.76 lacs,10.96 lacs,10.39 lacs,10.13 lacs,10.73 lacs,10.86 lacs,10.5 lacs,10.39 lacs,10.6 lacs,10.29 lacs,10.2 lacs,10.21 lacs,9.8 lacs,9.34 lacs,9.11 lacs,10.39 lacs,10.37 lacs
Sao Tome and Principe,STP,14.38 lacs,14.39 lacs,14.39 lacs,14.37 lacs,14.38 lacs,14.39 lacs,14.39 lacs,14.37 lacs,14.37 lacs,14.4 lacs,15.73 lacs,17.63 lacs,16.36 lacs,16.12 lacs,16.47 lacs,16.65 lacs,16.23 lacs,15.63 lacs,15.2 lacs,14.6 lacs,14.11 lacs,13.59 lacs,13.65 lacs,13.7 lacs,13.82 lacs,13.89 lacs,13.97 lacs,14.06 lacs,14.14 lacs,15.75 lacs,15.91 lacs
Suriname,SUR,17.07 lacs,17.28 lacs,15.64 lacs,12.7 lacs,8.39 lacs,10.88 lacs,10.56 lacs,10.63 lacs,13.6 lacs,12.74 lacs,11.91 lacs,11.15 lacs,10.31 lacs,9.49 lacs,9.38 lacs,9.19 lacs,9.03 lacs,8.88 lacs,8.72 lacs,7.15 lacs,7.54 lacs,8.1 lacs,6.6 lacs,6.94 lacs,7.22 lacs,7.92 lacs,7.9 lacs,7.93 lacs,8.04 lacs,9.78 lacs,10.06 lacs
Slovak Republic,SVK,11.58 lacs,11.87 lacs,12.2 lacs,13.65 lacs,13.11 lacs,11.34 lacs,11.89 lacs,12.19 lacs,15.95 lacs,19.06 lacs,19.38 lacs,18.72 lacs,17.12 lacs,18.6 lacs,16.26 lacs,13.37 lacs,11.14 lacs,9.51 lacs,12.03 lacs,14.38 lacs,13.62 lacs,13.96 lacs,14.22 lacs,13.18 lacs,11.48 lacs,9.67 lacs,8.13 lacs,6.54 lacs,5.75 lacs,6.69 lacs,6.74 lacs
Slovenia,SVN,7.08 lacs,7.68 lacs,8.51 lacs,8.24 lacs,7.15 lacs,6.91 lacs,6.65 lacs,7.39 lacs,7.32 lacs,6.92 lacs,5.68 lacs,5.92 lacs,6.48 lacs,6.01 lacs,6.51 lacs,5.95 lacs,4.82 lacs,4.37 lacs,5.86 lacs,7.24 lacs,8.17 lacs,8.84 lacs,10.1 lacs,9.67 lacs,8.96 lacs,8 lacs,6.56 lacs,5.11 lacs,4.45 lacs,4.97 lacs,4.42 lacs
Sweden,SWE,3.24 lacs,5.72 lacs,9.33 lacs,9.58 lacs,8.9 lacs,9.55 lacs,10.36 lacs,8.94 lacs,7.61 lacs,5.47 lacs,4.73 lacs,4.97 lacs,5.55 lacs,6.69 lacs,7.49 lacs,7.07 lacs,6.16 lacs,6.23 lacs,8.35 lacs,8.61 lacs,7.8 lacs,7.98 lacs,8.05 lacs,7.95 lacs,7.43 lacs,6.99 lacs,6.72 lacs,6.36 lacs,6.83 lacs,8.29 lacs,8.66 lacs
Eswatini,SWZ,21.81 lacs,21.76 lacs,21.73 lacs,21.71 lacs,21.65 lacs,22.08 lacs,22.5 lacs,23.08 lacs,23.65 lacs,24.24 lacs,24.83 lacs,25.36 lacs,25.94 lacs,26.52 lacs,27.07 lacs,27.64 lacs,28.24 lacs,27.68 lacs,27.05 lacs,26.41 lacs,25.81 lacs,25.15 lacs,24.55 lacs,23.97 lacs,23.33 lacs,22.72 lacs,22.75 lacs,22.79 lacs,22.84 lacs,25.51 lacs,25.76 lacs
Syrian Arab Republic,SYR,6.75 lacs,7.03 lacs,7.4 lacs,7.5 lacs,7.2 lacs,7.29 lacs,7.39 lacs,7.45 lacs,7.6 lacs,9.6 lacs,11.63 lacs,10.93 lacs,10.28 lacs,9.54 lacs,8.85 lacs,8.17 lacs,8.42 lacs,10.94 lacs,8.14 lacs,8.61 lacs,8.7 lacs,8.81 lacs,8.83 lacs,8.72 lacs,8.71 lacs,8.73 lacs,8.75 lacs,8.76 lacs,8.77 lacs,10.26 lacs,10.57 lacs
Chad,TCD,0.68 lacs,0.68 lacs,0.7 lacs,0.69 lacs,0.72 lacs,0.73 lacs,0.75 lacs,0.76 lacs,0.79 lacs,0.81 lacs,0.81 lacs,0.83 lacs,0.84 lacs,0.84 lacs,0.87 lacs,0.91 lacs,0.93 lacs,0.94 lacs,0.96 lacs,0.96 lacs,1 lacs,1.01 lacs,1.03 lacs,1.05 lacs,1.07 lacs,1.1 lacs,1.12 lacs,1.13 lacs,1.12 lacs,1.74 lacs,1.88 lacs
East Asia & Pacific (IDA & IBRD countries),TEA,2.4 lacs,2.36 lacs,2.62 lacs,2.92 lacs,3 lacs,3.11 lacs,3.21 lacs,3.37 lacs,3.46 lacs,3.41 lacs,3.85 lacs,4.17 lacs,4.42 lacs,4.41 lacs,4.49 lacs,4.38 lacs,4.36 lacs,4.45 lacs,4.41 lacs,4.17 lacs,4.12 lacs,4.05 lacs,4.06 lacs,4.05 lacs,4.12 lacs,4.04 lacs,3.93 lacs,3.81 lacs,3.91 lacs,4.41 lacs,4.32 lacs
Europe & Central Asia (IDA & IBRD countries),TEC,5.97 lacs,6.37 lacs,7.09 lacs,8.47 lacs,9.47 lacs,10.09 lacs,10.73 lacs,11.61 lacs,12.01 lacs,11.25 lacs,10.84 lacs,10.67 lacs,10.38 lacs,10.11 lacs,9.42 lacs,8.62 lacs,7.52 lacs,7.29 lacs,8.94 lacs,8.56 lacs,8.02 lacs,7.53 lacs,7.59 lacs,7.66 lacs,7.63 lacs,7.45 lacs,7.09 lacs,6.69 lacs,6.78 lacs,7.4 lacs,7.27 lacs
Togo,TGO,3.66 lacs,3.71 lacs,3.79 lacs,3.7 lacs,3.76 lacs,3.79 lacs,3.81 lacs,3.91 lacs,3.93 lacs,3.98 lacs,4.02 lacs,4.05 lacs,4.08 lacs,4.16 lacs,4.22 lacs,4.23 lacs,3.8 lacs,3.34 lacs,2.88 lacs,2.43 lacs,1.98 lacs,2.03 lacs,2.09 lacs,2.14 lacs,2.2 lacs,2.97 lacs,3.74 lacs,3.73 lacs,3.72 lacs,3.94 lacs,4 lacs
Thailand,THA,2.63 lacs,1.35 lacs,1.49 lacs,1.35 lacs,1.1 lacs,1.07 lacs,0.87 lacs,3.4 lacs,2.97 lacs,2.39 lacs,2.6 lacs,1.82 lacs,1.54 lacs,1.51 lacs,1.35 lacs,1.22 lacs,1.18 lacs,1.18 lacs,0.95 lacs,0.62 lacs,0.66 lacs,0.58 lacs,0.25 lacs,0.58 lacs,0.6 lacs,0.69 lacs,0.83 lacs,0.77 lacs,0.72 lacs,1.1 lacs,1.42 lacs
Tajikistan,TJK,1.9 lacs,2.1 lacs,6.2 lacs,8.8 lacs,10.3 lacs,13.4 lacs,13.9 lacs,16.5 lacs,15.4 lacs,15.13 lacs,14.77 lacs,14.41 lacs,14.02 lacs,13.61 lacs,13.13 lacs,12.74 lacs,12.37 lacs,11.98 lacs,11.5 lacs,10.89 lacs,10.24 lacs,9.58 lacs,8.91 lacs,8.23 lacs,7.55 lacs,6.9 lacs,6.95 lacs,7.01 lacs,7.06 lacs,7.58 lacs,7.75 lacs
Turkmenistan,TKM,1.4 lacs,1.5 lacs,1.5 lacs,4.7 lacs,8.3 lacs,10.3 lacs,11 lacs,12.2 lacs,12.7 lacs,11.54 lacs,10.68 lacs,9.75 lacs,8.99 lacs,8.19 lacs,7.5 lacs,6.61 lacs,5.76 lacs,4.95 lacs,4 lacs,4 lacs,4.09 lacs,4.09 lacs,4.11 lacs,4.14 lacs,4.14 lacs,4.17 lacs,4.2 lacs,4.23 lacs,4.27 lacs,4.95 lacs,5.08 lacs
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.99 lacs,5.93 lacs,5.94 lacs,6.44 lacs,7.65 lacs,8.03 lacs,7.86 lacs,8.26 lacs,9.18 lacs,9.08 lacs,8.79 lacs,9.04 lacs,8.93 lacs,8.42 lacs,7.96 lacs,7.33 lacs,6.88 lacs,6.52 lacs,7.51 lacs,6.83 lacs,6.5 lacs,6.42 lacs,6.37 lacs,6.18 lacs,6.68 lacs,7.8 lacs,8.09 lacs,7.98 lacs,8.04 lacs,10.2 lacs,10.09 lacs
Timor-Leste,TLS,3.54 lacs,3.53 lacs,3.52 lacs,3.54 lacs,3.53 lacs,3.51 lacs,3.56 lacs,3.61 lacs,3.93 lacs,3.41 lacs,3.37 lacs,3.57 lacs,3.52 lacs,3.48 lacs,3.44 lacs,3.49 lacs,3.34 lacs,3.32 lacs,3.31 lacs,3.3 lacs,3.55 lacs,3.76 lacs,4.02 lacs,4.21 lacs,4.45 lacs,4.66 lacs,4.76 lacs,4.73 lacs,4.51 lacs,4.91 lacs,5.07 lacs
Middle East & North Africa (IDA & IBRD countries),TMN,11.86 lacs,12.14 lacs,12.84 lacs,12.89 lacs,13.34 lacs,12.31 lacs,12.05 lacs,12.24 lacs,12.57 lacs,13.2 lacs,13.18 lacs,13.23 lacs,12.87 lacs,11.51 lacs,11.79 lacs,11 lacs,10.52 lacs,10.27 lacs,10.43 lacs,10.68 lacs,11.46 lacs,11.68 lacs,11.4 lacs,11.58 lacs,11.82 lacs,11.93 lacs,11.93 lacs,11.46 lacs,10.6 lacs,12.09 lacs,12.05 lacs
Tonga,TON,1.31 lacs,1.38 lacs,1.3 lacs,1.66 lacs,1.98 lacs,2.49 lacs,2.89 lacs,3.24 lacs,3.58 lacs,4.08 lacs,4.34 lacs,4.66 lacs,5.18 lacs,4.01 lacs,2.49 lacs,1.09 lacs,1.25 lacs,1.35 lacs,1.67 lacs,1.74 lacs,1.79 lacs,2.07 lacs,2.24 lacs,2.37 lacs,2.55 lacs,2.57 lacs,2.82 lacs,3.07 lacs,3.06 lacs,3.63 lacs,3.97 lacs
South Asia (IDA & IBRD),TSA,5.02 lacs,5.12 lacs,5.08 lacs,5.12 lacs,5.13 lacs,5.09 lacs,4.98 lacs,5.02 lacs,5.07 lacs,4.93 lacs,4.97 lacs,4.98 lacs,5.1 lacs,5.08 lacs,5.06 lacs,4.96 lacs,4.96 lacs,4.85 lacs,5.01 lacs,4.84 lacs,4.79 lacs,4.91 lacs,5.07 lacs,4.97 lacs,5.14 lacs,5.15 lacs,5.12 lacs,5.12 lacs,5.02 lacs,7.24 lacs,5.79 lacs
Sub-Saharan Africa (IDA & IBRD countries),TSS,6.51 lacs,6.58 lacs,6.6 lacs,6.59 lacs,6.58 lacs,6.6 lacs,6.63 lacs,6.62 lacs,6.69 lacs,6.67 lacs,6.65 lacs,6.77 lacs,6.65 lacs,6.35 lacs,6.22 lacs,6.12 lacs,5.95 lacs,5.65 lacs,5.67 lacs,6 lacs,5.93 lacs,5.85 lacs,5.71 lacs,5.79 lacs,5.82 lacs,6.24 lacs,6.47 lacs,6.48 lacs,6.61 lacs,7.28 lacs,7.66 lacs
Trinidad and Tobago,TTO,18.52 lacs,19.66 lacs,19.81 lacs,18.44 lacs,17.22 lacs,16.25 lacs,15.01 lacs,14.21 lacs,13.12 lacs,12.1 lacs,10.88 lacs,10.39 lacs,10.48 lacs,8.33 lacs,7.95 lacs,6.27 lacs,5.54 lacs,4.63 lacs,5.28 lacs,4.03 lacs,3.43 lacs,3.72 lacs,2.68 lacs,2.48 lacs,2.43 lacs,3.21 lacs,3.28 lacs,3.34 lacs,3.42 lacs,4.57 lacs,4.8 lacs
Tunisia,TUN,15.65 lacs,15.58 lacs,15.83 lacs,15.86 lacs,15.94 lacs,15.83 lacs,15.94 lacs,15.61 lacs,15.21 lacs,14.94 lacs,14.4 lacs,14.55 lacs,14.51 lacs,14.23 lacs,12.87 lacs,12.51 lacs,12.36 lacs,12.44 lacs,13.29 lacs,13.05 lacs,18.33 lacs,17.63 lacs,15.93 lacs,15.06 lacs,15.16 lacs,15.56 lacs,15.33 lacs,15.46 lacs,15.13 lacs,16.59 lacs,16.82 lacs
Turkiye,TUR,8.21 lacs,8.51 lacs,8.96 lacs,8.58 lacs,7.64 lacs,6.63 lacs,6.84 lacs,6.89 lacs,7.69 lacs,6.5 lacs,8.38 lacs,10.36 lacs,10.54 lacs,10.84 lacs,10.64 lacs,8.72 lacs,8.87 lacs,9.71 lacs,12.55 lacs,10.66 lacs,8.8 lacs,8.15 lacs,8.73 lacs,9.88 lacs,10.24 lacs,10.84 lacs,10.82 lacs,10.89 lacs,13.67 lacs,13.11 lacs,13.39 lacs
Tanzania,TZA,3.6 lacs,3.56 lacs,3.5 lacs,3.44 lacs,3.36 lacs,3.29 lacs,3.24 lacs,3.19 lacs,3.12 lacs,3.06 lacs,2.99 lacs,3.04 lacs,3.11 lacs,3.16 lacs,3.23 lacs,3.3 lacs,3.03 lacs,2.77 lacs,2.5 lacs,2.99 lacs,3.47 lacs,3.23 lacs,2.93 lacs,2.12 lacs,2.14 lacs,2.16 lacs,2.18 lacs,2.21 lacs,2.22 lacs,2.53 lacs,2.65 lacs
Uganda,UGA,0.94 lacs,0.92 lacs,1.16 lacs,1.42 lacs,1.65 lacs,1.92 lacs,2.21 lacs,2.47 lacs,2.71 lacs,3.03 lacs,3.27 lacs,3.5 lacs,3.6 lacs,2.75 lacs,1.9 lacs,2.29 lacs,2.73 lacs,3.15 lacs,3.6 lacs,3.59 lacs,3.51 lacs,3.55 lacs,1.91 lacs,1.91 lacs,1.91 lacs,1.92 lacs,1.93 lacs,1.92 lacs,1.92 lacs,2.77 lacs,2.94 lacs
Ukraine,UKR,1.9 lacs,1.9 lacs,2 lacs,2 lacs,5.62 lacs,7.65 lacs,8.93 lacs,11.32 lacs,11.86 lacs,11.71 lacs,11.06 lacs,10.14 lacs,9.06 lacs,8.59 lacs,7.18 lacs,6.81 lacs,6.35 lacs,6.36 lacs,8.84 lacs,8.1 lacs,7.85 lacs,7.53 lacs,7.17 lacs,9.27 lacs,9.14 lacs,9.35 lacs,9.5 lacs,8.8 lacs,8.19 lacs,9.13 lacs,8.88 lacs
Upper middle income,UMC,3.82 lacs,3.87 lacs,4.19 lacs,4.62 lacs,5.01 lacs,5.18 lacs,5.34 lacs,5.61 lacs,5.76 lacs,5.52 lacs,5.77 lacs,6.05 lacs,6.22 lacs,6.01 lacs,5.93 lacs,5.7 lacs,5.45 lacs,5.49 lacs,5.99 lacs,5.67 lacs,5.54 lacs,5.48 lacs,5.49 lacs,5.49 lacs,5.66 lacs,5.9 lacs,5.93 lacs,5.77 lacs,6 lacs,6.76 lacs,6.76 lacs
Uruguay,URY,8.95 lacs,8.96 lacs,8.35 lacs,9.04 lacs,10.02 lacs,11.93 lacs,11.44 lacs,9.36 lacs,10.47 lacs,12.63 lacs,15.05 lacs,16.65 lacs,16.66 lacs,12.98 lacs,12.01 lacs,10.84 lacs,9.4 lacs,8.03 lacs,7.74 lacs,7.16 lacs,6.31 lacs,6.45 lacs,6.44 lacs,6.55 lacs,7.49 lacs,7.84 lacs,7.89 lacs,8.34 lacs,8.88 lacs,10.35 lacs,10.45 lacs
United States,USA,6.8 lacs,7.5 lacs,6.9 lacs,6.12 lacs,5.65 lacs,5.45 lacs,5 lacs,4.51 lacs,4.22 lacs,3.99 lacs,4.73 lacs,5.78 lacs,5.99 lacs,5.53 lacs,5.08 lacs,4.62 lacs,4.62 lacs,5.78 lacs,9.25 lacs,9.63 lacs,8.95 lacs,8.07 lacs,7.37 lacs,6.17 lacs,5.28 lacs,4.87 lacs,4.36 lacs,3.9 lacs,3.67 lacs,8.05 lacs,5.46 lacs
Uzbekistan,UZB,1.9 lacs,2.9 lacs,4.9 lacs,7.3 lacs,7.8 lacs,10.7 lacs,10.9 lacs,13.3 lacs,13.3 lacs,12.23 lacs,11.2 lacs,10.15 lacs,9.11 lacs,8.19 lacs,7.09 lacs,6.03 lacs,4.99 lacs,4.89 lacs,5 lacs,5.4 lacs,5 lacs,4.9 lacs,4.9 lacs,5.1 lacs,5.2 lacs,5.2 lacs,5.8 lacs,5.84 lacs,5.85 lacs,7.04 lacs,7.16 lacs
St. Vincent and the Grenadines,VCT,19.77 lacs,19.69 lacs,19.74 lacs,20.19 lacs,19.99 lacs,20.38 lacs,20.44 lacs,20.57 lacs,20.77 lacs,20.95 lacs,21.1 lacs,20.59 lacs,20.21 lacs,20.02 lacs,19.75 lacs,19.23 lacs,19.06 lacs,18.79 lacs,18.96 lacs,19.05 lacs,18.99 lacs,18.97 lacs,18.99 lacs,19.05 lacs,19.09 lacs,19.11 lacs,19.18 lacs,19.18 lacs,19.28 lacs,21 lacs,21.62 lacs
"Venezuela, RB",VEN,9.45 lacs,7.69 lacs,6.6 lacs,8.56 lacs,10.24 lacs,11.77 lacs,11.16 lacs,11.15 lacs,14.53 lacs,13.99 lacs,13.04 lacs,16.17 lacs,16.78 lacs,15.07 lacs,10.66 lacs,8.61 lacs,7.28 lacs,6.25 lacs,6.1 lacs,7.11 lacs,6.9 lacs,6.6 lacs,7.54 lacs,6.86 lacs,6.08 lacs,5.32 lacs,5.05 lacs,5.02 lacs,5.1 lacs,6.63 lacs,6.41 lacs
Virgin Islands (U.S.),VIR,12.35 lacs,12.51 lacs,12.7 lacs,12.47 lacs,12.13 lacs,12.21 lacs,12.12 lacs,11.86 lacs,11.5 lacs,11.11 lacs,11.08 lacs,11.19 lacs,11.36 lacs,11.05 lacs,10.96 lacs,10.41 lacs,10.19 lacs,10.31 lacs,11.58 lacs,11.73 lacs,12.08 lacs,12.23 lacs,12.76 lacs,12.79 lacs,12.62 lacs,12.68 lacs,12.32 lacs,12.43 lacs,12.47 lacs,13.55 lacs,13.27 lacs
Vietnam,VNM,2.09 lacs,1.91 lacs,1.97 lacs,1.93 lacs,1.9 lacs,1.93 lacs,2.87 lacs,2.29 lacs,2.33 lacs,2.26 lacs,2.76 lacs,2.12 lacs,2.25 lacs,2.14 lacs,2.1 lacs,2.09 lacs,2.03 lacs,1.93 lacs,1.74 lacs,1.11 lacs,1 lacs,1.03 lacs,1.32 lacs,1.26 lacs,1.85 lacs,1.85 lacs,1.87 lacs,1.16 lacs,2.04 lacs,2.39 lacs,2.17 lacs
Vanuatu,VUT,1.68 lacs,1.69 lacs,1.73 lacs,1.59 lacs,1.74 lacs,1.72 lacs,1.68 lacs,1.76 lacs,1.78 lacs,,1.88 lacs,1.92 lacs,1.74 lacs,1.75 lacs,1.73 lacs,1.68 lacs,1.79 lacs,1.75 lacs,1.81 lacs,1.85 lacs,1.81 lacs,1.85 lacs,1.86 lacs,1.81 lacs,1.86 lacs,1.78 lacs,1.75 lacs,1.81 lacs,1.8 lacs,2.12 lacs,2.18 lacs
World,WLD,4.8 lacs,4.96 lacs,5.23 lacs,5.49 lacs,5.63 lacs,5.7 lacs,5.7 lacs,5.86 lacs,5.97 lacs,5.77 lacs,5.86 lacs,6.07 lacs,6.16 lacs,6 lacs,5.9 lacs,5.63 lacs,5.42 lacs,5.41 lacs,6.01 lacs,5.9 lacs,5.77 lacs,5.74 lacs,5.73 lacs,5.6 lacs,5.62 lacs,5.66 lacs,5.56 lacs,5.39 lacs,5.36 lacs,6.57 lacs,6.18 lacs
Samoa,WSM,2.1 lacs,2.38 lacs,2.63 lacs,3.04 lacs,3.19 lacs,3.47 lacs,3.9 lacs,4.18 lacs,4.48 lacs,4.66 lacs,4.96 lacs,5.1 lacs,5.16 lacs,5.22 lacs,5.29 lacs,5.42 lacs,5.36 lacs,5.58 lacs,5.83 lacs,5.73 lacs,5.68 lacs,8.75 lacs,8.67 lacs,8.72 lacs,8.5 lacs,8.31 lacs,8.58 lacs,8.69 lacs,8.41 lacs,9.15 lacs,9.84 lacs
"Yemen, Rep.",YEM,8.32 lacs,8.31 lacs,8.35 lacs,8.34 lacs,8.96 lacs,9.59 lacs,10.2 lacs,10.81 lacs,11.46 lacs,11.56 lacs,11.71 lacs,11.84 lacs,11.97 lacs,12.1 lacs,12.21 lacs,12.37 lacs,12.49 lacs,12.62 lacs,12.75 lacs,12.83 lacs,13.23 lacs,13.17 lacs,13.27 lacs,13.47 lacs,13.77 lacs,13.43 lacs,13.3 lacs,13.15 lacs,13.06 lacs,13.39 lacs,13.57 lacs
South Africa,ZAF,29.95 lacs,29.98 lacs,29.92 lacs,29.89 lacs,29.89 lacs,29.87 lacs,29.91 lacs,29.95 lacs,29.91 lacs,29.88 lacs,30.69 lacs,33.29 lacs,32.31 lacs,29.45 lacs,29.12 lacs,28.34 lacs,26.54 lacs,22.41 lacs,23.52 lacs,24.68 lacs,24.64 lacs,24.73 lacs,24.56 lacs,24.89 lacs,25.15 lacs,26.54 lacs,27.04 lacs,26.91 lacs,28.47 lacs,29.22 lacs,33.56 lacs
Zambia,ZMB,18.9 lacs,19.37 lacs,19.7 lacs,18.43 lacs,16.81 lacs,15.3 lacs,13.64 lacs,12 lacs,12.44 lacs,12.93 lacs,13.51 lacs,14.12 lacs,14.69 lacs,15.3 lacs,15.9 lacs,13.24 lacs,10.59 lacs,7.93 lacs,10.56 lacs,13.19 lacs,10.55 lacs,7.85 lacs,8.61 lacs,9.36 lacs,10.13 lacs,10.87 lacs,11.63 lacs,12.01 lacs,12.52 lacs,12.85 lacs,13.03 lacs
Zimbabwe,ZWE,4.94 lacs,4.99 lacs,4.97 lacs,4.96 lacs,5.63 lacs,6.25 lacs,6.93 lacs,6.46 lacs,6 lacs,5.69 lacs,5.36 lacs,5.06 lacs,4.75 lacs,4.39 lacs,4.54 lacs,4.68 lacs,4.83 lacs,5.01 lacs,5.08 lacs,5.21 lacs,5.37 lacs,5.15 lacs,4.98 lacs,4.77 lacs,4.78 lacs,4.79 lacs,4.78 lacs,4.8 lacs,4.83 lacs,5.35 lacs,5.17 lacs
